"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Historical (real-time) releases of wholesale sales, price and volume, seasonally adjusted","20100005","081-8018","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010000501",1;2;4;6,"CURRENT - a cube available to the public and that is current","Monthly","2004-01-01","2023-12-01","4",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Sales, price and volume",,""
"3","North American Industry Classification System (NAICS)",,""
"4","Release",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Canada","","1","","",,
"2","Wholesale sales in current prices","","1","","",,
"2","Wholesale sales Chained Fisher volume index (scaled to equal 100 in 2012)","","2","","",,
"2","Fisher Chained Price Index (scaled to equal 100 in 2012)","","3","","",,
"2","Wholesale sales at 2012 constant prices (Unchained Laspeyres Index)","","4","","",3,
"3","Oilseed and grain merchant wholesalers","[41112]","35","2","",,
"3","Food merchant wholesalers","[4131]","4","3","",,
"3","Beverage merchant wholesalers","[4132]","5","3","",,
"3","Cigarette and tobacco product merchant wholesalers","[4133]","6","3","",,
"3","Cannabis merchant wholesalers","[4134]","34","3","",5,
"3","Textile, clothing and footwear merchant wholesalers","[4141]","8","7","",,
"3","Home entertainment equipment and household appliance merchant wholesalers","[4142]","9","7","",,
"3","Home furnishings merchant wholesalers","[4143]","10","7","",,
"3","Personal goods merchant wholesalers","[4144]","11","7","",,
"3","Pharmaceuticals, toiletries, cosmetics and sundries merchant wholesalers","[4145]","12","7","",,
"3","Pharmaceuticals and pharmacy supplies merchant wholesalers","[41451]","13","12","",,
"3","Toiletries, cosmetics and sundries merchant wholesalers","[41452]","14","12","",,
"3","Motor vehicle merchant wholesalers","[4151]","16","15","",,
"3","New motor vehicle parts and accessories merchant wholesalers","[4152]","17","15","",,
"3","Used motor vehicle parts and accessories merchant wholesalers","[4153]","18","15","",,
"3","Electrical, plumbing, heating and air-conditioning equipment and supplies merchant wholesalers","[4161]","20","19","",,
"3","Metal service centres","[4162]","21","19","",,
"3","Lumber, millwork, hardware and other building supplies merchant wholesalers","[4163]","22","19","",,
"3","Farm, lawn and garden machinery and equipment merchant wholesalers","[4171]","24","23","",,
"3","Construction, forestry, mining, and industrial machinery, equipment and supplies merchant wholesalers","[4172]","25","23","",,
"3","Computer and communications equipment and supplies merchant wholesalers","[4173]","26","23","",,
"3","Other machinery, equipment and supplies merchant wholesalers","[4179]","27","23","",,
"3","Recyclable material merchant wholesalers","[4181]","29","28","",,
"3","Paper, paper product and disposable plastic product merchant wholesalers","[4182]","30","28","",,
"3","Agricultural supplies merchant wholesalers","[4183]","31","28","",,
"3","Chemical (except agricultural) and allied product merchant wholesalers","[4184]","32","28","",,
"3","Other miscellaneous merchant wholesalers","[4189]","33","28","",,
"3","Mineral, ore and precious metal merchant wholesalers","[4185]","38","28","",,
"3","Log, wood chips, and other wood products merchant wholesalers","[4186]","39","28","",,
"3","Farm product merchant wholesalers","[411]","2","42","",,
"3","Food, beverage and tobacco merchant wholesalers","[413]","3","42","",,
"3","Personal and household goods merchant wholesalers","[414]","7","42","",,
"3","Motor vehicle and motor vehicle parts and accessories merchant wholesalers","[415]","15","42","",,
"3","Building material and supplies merchant wholesalers","[416]","19","42","",,
"3","Machinery, equipment and supplies merchant wholesalers","[417]","23","42","",,
"3","Miscellaneous merchant wholesalers","[418]","28","42","",,
